,pred
813,0
814,0
815,0
816,0
817,0
818,0
819,1
820,1
821,1
822,0
823,0
824,1
825,0
826,1
827,1
828,0
829,1
830,0
831,0
832,0
833,0
834,1
835,0
836,0
837,0
838,0
839,0
840,1
841,0
842,1
843,0
844,0
845,1
846,1
847,0
848,1
849,0
850,1
851,1
852,1
853,0
854,0
855,1
856,0
857,0
858,0
859,0
860,0
861,1
862,0
863,1
864,0
865,0
866,0
867,0
868,1
869,0
870,0
871,1
872,0
873,0
874,1
875,1
876,1
877,0
878,0
879,0
880,1
881,1
882,0
883,1
884,1
885,0
886,0
887,0
888,0
889,1
890,0
891,1
892,1
893,0
894,0
895,1
896,0
897,0
898,0
899,0
900,1
901,0
902,0
903,1
904,1
905,0
906,0
907,0
908,1
909,0
910,0
911,0
912,1
913,0
914,1
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,1
923,0
924,0
925,1
926,1
927,0
928,1
929,1
930,1
931,1
932,0
933,0
934,1
935,1
936,0
937,1
938,1
939,1
940,1
941,0
942,1
943,1
944,1
945,1
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,1
957,0
958,1
959,1
960,0
961,1
962,1
963,0
964,1
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,1
980,0
981,0
982,0
983,1
984,1
985,1
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,1
994,1
995,1
996,1
997,1
998,0
999,0
1000,1
1001,1
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,1
1015,0
1016,0
1017,1
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,1
1029,0
1030,0
1031,1
1032,1
1033,1
1034,1
1035,1
1036,0
1037,0
1038,1
1039,1
1040,0
1041,1
1042,0
1043,1
1044,0
1045,1
1046,0
1047,1
1048,0
1049,0
1050,1
1051,0
1052,1
1053,0
1054,1
1055,0
1056,0
1057,0
1058,1
1059,1
1060,0
1061,1
1062,1
1063,1
1064,0
1065,0
1066,0
1067,1
1068,0
1069,1
1070,0
1071,1
1072,0
1073,1
1074,0
1075,0
1076,1
1077,0
1078,0
1079,1
1080,1
1081,0
1082,1
1083,1
1084,1
1085,0
1086,1
1087,1
1088,0
1089,1
1090,0
1091,1
1092,1
1093,1
1094,0
1095,0
1096,1
1097,0
1098,0
1099,0
1100,1
1101,0
1102,1
1103,0
1104,0
1105,0
1106,1
1107,0
1108,0
1109,1
1110,1
1111,0
1112,0
1113,0
1114,1
1115,0
1116,0
1117,0
1118,0
1119,1
1120,0
1121,1
1122,1
1123,0
1124,1
1125,1
1126,0
1127,1
1128,1
1129,0
1130,1
1131,0
1132,0
1133,0
1134,0
1135,1
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,1
1145,1
1146,1
1147,1
1148,0
1149,1
1150,0
1151,1
1152,0
1153,0
1154,1
1155,1
1156,1
1157,0
1158,0
1159,1
1160,0
1161,0
1162,0
1163,0
1164,0
1165,1
1166,0
1167,0
1168,0
1169,0
1170,0
1171,1
1172,0
1173,1
1174,1
1175,1
1176,0
1177,1
1178,0
1179,1
1180,0
1181,1
1182,1
1183,0
1184,1
1185,1
1186,0
1187,0
1188,0
1189,0
1190,0
1191,0
1192,1
1193,1
1194,0
1195,1
1196,0
1197,1
1198,1
1199,0
1200,0
1201,1
1202,1
1203,0
1204,0
1205,0
1206,1
1207,1
1208,0
1209,1
1210,0
1211,0
1212,0
1213,0
1214,1
1215,1
1216,0
1217,0
1218,1
1219,0
1220,0
1221,0
1222,0
1223,1
1224,0
1225,0
1226,1
1227,1
1228,1
1229,0
1230,1
1231,0
1232,1
1233,0
1234,0
1235,0
1236,0
1237,1
1238,0
1239,1
1240,0
1241,0
1242,1
1243,1
1244,1
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0
1253,1
1254,0
1255,1
1256,0
1257,0
1258,0
1259,1
1260,1
1261,0
1262,0
1263,1
1264,1
1265,1
1266,1
1267,0
1268,1
1269,1
1270,0
1271,0
1272,0
1273,0
1274,1
1275,0
1276,0
1277,1
1278,0
1279,1
1280,0
1281,0
1282,0
1283,1
1284,0
1285,0
1286,0
1287,1
1288,1
1289,1
1290,0
1291,1
1292,0
1293,0
1294,0
1295,1
1296,0
1297,0
1298,0
1299,0
1300,0
1301,0
1302,0
1303,0
1304,0
1305,0
1306,0
1307,0
1308,0
1309,0
1310,0
1311,0
1312,1
1313,1
1314,0
1315,0
1316,0
1317,1
1318,0
1319,0
1320,1
1321,0
1322,0
1323,1
1324,0
1325,0
1326,1
1327,0
1328,1
1329,0
1330,0
1331,0
1332,1
1333,1
1334,1
1335,1
1336,0
1337,1
1338,0
1339,0
1340,0
1341,0
1342,0
1343,1
1344,0
1345,1
1346,0
1347,0
1348,0
1349,0
1350,0
1351,0
1352,0
1353,0
1354,0
1355,0
1356,0
1357,1
1358,0
1359,0
1360,0
1361,0
1362,0
1363,1
1364,0
1365,0
1366,1
1367,0
1368,1
1369,1
1370,1
1371,1
1372,0
1373,1
1374,0
1375,1
1376,0
1377,0
1378,0
1379,1
1380,0
1381,0
1382,1
1383,0
1384,1
1385,1
1386,0
1387,1
1388,0
1389,0
1390,0
1391,0
1392,1
1393,0
1394,1
1395,0
1396,1
1397,0
1398,0
1399,0
1400,0
1401,0
1402,1
1403,0
1404,1
1405,1
1406,1
1407,1
1408,0
1409,1
1410,1
1411,1
1412,0
1413,0
1414,1
1415,1
1416,0
1417,1
1418,0
1419,0
1420,1
1421,0
1422,0
1423,1
1424,0
1425,0
1426,0
1427,0
1428,0
1429,0
1430,1
1431,1
1432,0
1433,0
1434,1
1435,0
1436,0
1437,0
1438,0
1439,1
1440,0
1441,0
1442,1
1443,0
1444,1
1445,0
1446,1
1447,0
1448,1
1449,0
1450,1
1451,0
1452,0
1453,1
1454,1
1455,1
1456,0
1457,1
1458,0
1459,1
1460,1
1461,1
1462,1
1463,1
1464,1
1465,0
1466,1
1467,0
1468,1
1469,1
1470,0
1471,0
1472,0
1473,1
1474,0
1475,0
1476,0
1477,1
1478,0
1479,1
1480,0
1481,1
1482,0
1483,0
1484,0
1485,1
1486,1
1487,1
1488,0
1489,0
1490,1
1491,1
1492,0
1493,0
1494,1
1495,0
1496,1
1497,1
1498,0
1499,1
1500,1
1501,0
1502,1
1503,0
1504,1
1505,1
1506,0
1507,1
1508,0
1509,0
1510,0
1511,1
1512,0
1513,0
1514,0
1515,0
1516,0
1517,1
1518,0
1519,1
1520,0
1521,0
1522,0
1523,1
1524,0
1525,0
1526,1
1527,0
1528,1
1529,0
1530,1
1531,0
1532,0
1533,0
1534,1
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,1
1542,0
1543,1
1544,0
1545,1
1546,1
1547,1
1548,1
1549,0
1550,0
1551,0
1552,0
1553,0
1554,1
1555,0
1556,1
1557,0
1558,0
1559,0
1560,0
1561,0
1562,0
1563,1
1564,1
1565,0
1566,0
1567,1
1568,0
1569,1
1570,0
1571,1
1572,0
1573,1
1574,1
1575,0
1576,1
1577,0
1578,0
1579,0
1580,1
1581,0
1582,1
1583,0
1584,0
1585,0
1586,0
1587,1
1588,1
1589,0
1590,0
1591,0
1592,1
1593,0
1594,0
1595,0
1596,0
1597,1
1598,0
1599,1
1600,1
1601,1
1602,1
1603,1
1604,0
1605,1
1606,0
1607,0
1608,0
1609,0
1610,0
1611,0
1612,0
1613,0
1614,1
1615,0
1616,0
1617,0
1618,0
1619,1
1620,0
1621,0
1622,1
1623,1
1624,0
1625,0
1626,1
1627,0
1628,1
1629,1
1630,1
1631,1
1632,0
1633,0
1634,1
1635,1
1636,1
1637,0
1638,1
1639,0
1640,0
1641,1
1642,1
1643,1
1644,0
1645,0
1646,0
1647,0
1648,1
1649,0
1650,0
1651,0
1652,0
1653,1
1654,0
1655,0
1656,0
1657,0
1658,0
1659,1
1660,0
1661,0
1662,0
1663,0
1664,0
1665,0
1666,1
1667,1
1668,1
1669,0
1670,1
1671,0
1672,0
1673,1
1674,1
1675,0
1676,0
1677,0
1678,0
1679,1
1680,0
1681,0
1682,0
1683,0
1684,1
1685,0
1686,0
1687,0
1688,1
1689,0
1690,1
1691,1
1692,0
1693,0
1694,0
1695,0
1696,0
1697,1
1698,0
1699,0
1700,1
1701,1
1702,0
1703,1
1704,0
1705,1
1706,0
1707,0
1708,0
1709,0
1710,0
1711,1
1712,1
1713,1
1714,1
1715,1
1716,1
1717,0
1718,0
1719,0
1720,0
1721,1
1722,1
1723,0
1724,0
1725,0
1726,0
1727,1
1728,0
1729,0
1730,0
1731,0
1732,1
1733,0
1734,0
1735,0
1736,0
1737,0
1738,1
1739,1
1740,1
1741,0
1742,0
1743,0
1744,0
1745,1
1746,1
1747,1
1748,0
1749,0
1750,0
1751,1
1752,1
1753,0
1754,1
1755,1
1756,0
1757,0
1758,0
1759,0
1760,1
1761,0
1762,0
1763,0
1764,1
1765,0
1766,0
1767,0
1768,0
1769,0
1770,1
1771,1
1772,0
1773,0
1774,1
1775,1
1776,0
1777,0
1778,0
1779,0
1780,0
1781,1
1782,1
1783,1
1784,1
1785,1
1786,0
1787,0
1788,1
1789,1
1790,1
1791,1
1792,0
1793,1
1794,1
1795,0
1796,0
1797,1
1798,0
1799,0
1800,1
1801,1
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0
1808,1
1809,0
1810,1
1811,0
1812,0
1813,0
1814,1
1815,1
1816,0
1817,0
1818,0
1819,1
1820,0
1821,0
1822,1
1823,0
1824,0
1825,0
1826,0
1827,0
1828,0
1829,1
1830,0
1831,0
1832,1
1833,0
1834,1
1835,0
1836,0
1837,1
1838,0
1839,1
1840,0
1841,0
1842,1
1843,0
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,1
1852,0
1853,0
1854,0
1855,0
1856,0
1857,0
1858,0
1859,1
1860,1
1861,0
1862,0
1863,0
1864,1
1865,1
1866,1
1867,1
1868,0
1869,0
1870,1
1871,0
1872,0
1873,0
1874,1
1875,0
1876,0
1877,1
1878,0
1879,0
1880,0
1881,0
1882,0
1883,0
1884,1
1885,1
1886,0
1887,0
1888,0
1889,1
1890,0
1891,0
1892,0
1893,1
1894,0
1895,0
1896,1
1897,0
1898,0
1899,0
1900,1
1901,0
1902,1
1903,0
1904,1
1905,0
1906,0
1907,1
1908,0
1909,1
1910,1
1911,0
1912,1
1913,0
1914,0
1915,0
1916,0
1917,0
1918,1
1919,0
1920,1
1921,0
1922,0
1923,1
1924,1
1925,0
1926,1
1927,0
1928,0
1929,1
1930,0
1931,1
1932,1
1933,1
1934,0
1935,0
1936,0
1937,1
1938,0
1939,0
1940,0
1941,1
1942,1
1943,0
1944,0
1945,1
1946,0
1947,0
1948,1
1949,0
1950,0
1951,0
1952,0
1953,1
1954,0
1955,1
1956,0
1957,1
1958,1
1959,1
1960,1
1961,0
1962,1
1963,0
1964,0
1965,1
1966,0
1967,0
1968,1
1969,0
1970,0
1971,1
1972,1
1973,0
1974,0
1975,0
1976,1
1977,0
1978,1
1979,1
1980,0
1981,1
1982,1
1983,1
1984,0
1985,1
1986,1
1987,0
1988,1
1989,0
1990,0
1991,1
1992,0
1993,1
1994,1
1995,1
1996,0
1997,0
1998,0
1999,0
